Name;Method;Maximum/Quantité;Pt Controle/Periode;1er Commande;Metaheuristique
A01;;tabou
A02;;tabou
A03;;tabou
A04;;tabou
A05;;tabou
A06;;tabou
A07;;tabou
A08;;tabou
A09;;tabou
A10;;tabou
A11;;tabou
A12;;tabou
A13;;tabou
A14;;tabou
A15;;tabou
A16;;tabou
A17;;tabou
A18;;tabou
A19;;tabou
A20;;tabou
A21;;tabou
A22;;tabou
A23;;tabou
A24;;tabou
A25;;tabou
A26;;tabou
A27;;tabou
A28;;tabou
A29;;tabou
A30;;tabou
A31;;tabou
A32;;tabou
A33;;tabou
A34;;tabou
A35;;tabou
A36;;tabou
A37;;tabou
A38;;tabou
A39;;tabou
A40;;tabou
A41;;tabou
A42;;tabou
A43;;tabou
A44;;tabou
A45;;tabou
A46;;tabou
A47;;tabou
A48;;tabou
A49;;tabou
A50;;tabou
A51;;tabou
A52;;tabou
A53;;tabou
A54;;tabou
A55;;tabou
A56;;tabou
A57;;tabou
A58;;tabou
A59;;tabou
A60;;tabou
A61;OrderPoint;11485;3911;;tabou
A62;OrderPoint;1861;1579;;tabou
A63;OrderPoint;15293;5011;;tabou
A64;OrderPoint;14877;4847;;tabou
A65;OrderPoint;15450;5862;;tabou
A66;OrderPoint;4963;1809;;tabou
A67;OrderPoint;14510;4398;;tabou
A68;OrderPoint;2151;3325;;tabou
A69;OrderPoint;10150;4058;;tabou
A70;OrderPoint;12762;4317;;tabou
A71;OrderPoint;12205;3606;;tabou
A72;OrderPoint;16825;5331;;tabou
A73;OrderPoint;9392;5016;;tabou
A74;OrderPoint;14512;4684;;tabou
A75;OrderPoint;9239;3974;;tabou
A76;OrderPoint;714;706;;tabou
A77;OrderPoint;9998;4383;;tabou
A78;OrderPoint;16569;4463;;tabou
A79;OrderPoint;5508;5485;;tabou
A80;OrderPoint;14590;5262;;tabou
A81;;tabou
A82;;tabou
A83;;tabou
A84;;tabou
A85;;tabou
A86;;tabou
A87;;tabou
A88;;tabou
A89;;tabou
A90;;tabou
A91;;tabou
A92;;tabou
A93;;tabou
A94;;tabou
A95;;tabou
A96;;tabou
A97;;tabou
A98;;tabou
A99;;tabou
A100;;tabou
A101;;tabou
A102;;tabou
A103;;tabou
A104;;tabou
A105;;tabou
A106;;tabou
A107;;tabou
A108;;tabou
A109;;tabou
A110;;tabou
A111;;tabou
A112;;tabou
A113;;tabou
A114;;tabou
A115;;tabou
A116;;tabou
A117;;tabou
A118;;tabou
A119;;tabou
A120;;tabou
