Name;Method;Maximum/Quantité;Pt Controle/Periode;1er Commande;Metaheuristique
A01;OrderPoint;13074;1025;;Recuit
A02;OrderPoint;2332;1594;;Recuit
A03;OrderPoint;12099;3064;;Recuit
A04;OrderPoint;14789;2328;;Recuit
A05;OrderPoint;17924;3684;;Recuit
A06;OrderPoint;5537;849;;Recuit
A07;OrderPoint;16507;2928;;Recuit
A08;OrderPoint;1758;3370;;Recuit
A09;OrderPoint;8532;3894;;Recuit
A10;OrderPoint;11396;2958;;Recuit
A11;OrderPoint;14039;3472;;Recuit
A12;OrderPoint;15908;1501;;Recuit
A13;OrderPoint;8289;5082;;Recuit
A14;OrderPoint;12302;1040;;Recuit
A15;OrderPoint;9915;2409;;Recuit
A16;OrderPoint;529;656;;Recuit
A17;OrderPoint;19571;2358;;Recuit
A18;OrderPoint;16009;2083;;Recuit
A19;OrderPoint;6886;5655;;Recuit
A20;OrderPoint;15697;2581;;Recuit
A21;OrderPoint;8750;3003;;Recuit
A22;OrderPoint;12447;3095;;Recuit
A23;OrderPoint;9068;1349;;Recuit
A24;OrderPoint;8957;2500;;Recuit
A25;OrderPoint;1975;503;;Recuit
A26;OrderPoint;8055;1389;;Recuit
A27;OrderPoint;4313;2171;;Recuit
A28;OrderPoint;5090;6338;;Recuit
A29;OrderPoint;3465;5805;;Recuit
A30;OrderPoint;2677;3035;;Recuit
A31;OrderPoint;8649;2861;;Recuit
A32;OrderPoint;7231;468;;Recuit
A33;OrderPoint;11723;4417;;Recuit
A34;OrderPoint;11173;361;;Recuit
A35;OrderPoint;2095;716;;Recuit
A36;OrderPoint;6851;2884;;Recuit
A37;OrderPoint;8657;922;;Recuit
A38;OrderPoint;8773;1819;;Recuit
A39;OrderPoint;9168;3003;;Recuit
A40;OrderPoint;7508;564;;Recuit
A41;OrderPoint;8252;1450;;Recuit
A42;OrderPoint;31283;4309;;Recuit
A43;OrderPoint;1754;1485;;Recuit
A44;OrderPoint;19447;781;;Recuit
A45;OrderPoint;26185;5505;;Recuit
A46;OrderPoint;4086;1139;;Recuit
A47;OrderPoint;19035;4397;;Recuit
A48;OrderPoint;22504;7630;;Recuit
A49;OrderPoint;16368;2255;;Recuit
A50;OrderPoint;16010;6775;;Recuit
A51;OrderPoint;19135;5450;;Recuit
A52;OrderPoint;2243;1659;;Recuit
A53;OrderPoint;8127;8159;;Recuit
A54;OrderPoint;2319;4751;;Recuit
A55;OrderPoint;9839;4968;;Recuit
A56;OrderPoint;3053;1263;;Recuit
A57;OrderPoint;4311;1511;;Recuit
A58;OrderPoint;9977;6740;;Recuit
A59;OrderPoint;5252;3114;;Recuit
A60;OrderPoint;1987;4618;;Recuit
