Name;Method;Maximum/Quantité;Pt Controle/Periode;1er Commande;Metaheuristique
A01;OrderPoint;11263;1573;;Recuit
A02;OrderPoint;1891;1606;;Recuit
A03;OrderPoint;15019;3228;;Recuit
A04;OrderPoint;14609;2390;;Recuit
A05;OrderPoint;15191;3714;;Recuit
A06;OrderPoint;6125;1118;;Recuit
A07;OrderPoint;14293;3115;;Recuit
A08;OrderPoint;2237;3335;;Recuit
A09;OrderPoint;8535;4463;;Recuit
A10;OrderPoint;16697;2976;;Recuit
A11;OrderPoint;14106;4000;;Recuit
A12;OrderPoint;16142;1667;;Recuit
A13;OrderPoint;13178;4992;;Recuit
A14;OrderPoint;19465;563;;Recuit
A15;OrderPoint;12306;2188;;Recuit
A16;OrderPoint;594;865;;Recuit
A17;OrderPoint;13904;1715;;Recuit
A18;OrderPoint;12377;2085;;Recuit
A19;OrderPoint;5957;5631;;Recuit
A20;OrderPoint;13330;2357;;Recuit
A21;OrderPoint;7054;2953;;Recuit
A22;OrderPoint;13955;3022;;Recuit
A23;OrderPoint;11090;1137;;Recuit
A24;OrderPoint;8807;2440;;Recuit
A25;OrderPoint;1668;535;;Recuit
A26;OrderPoint;9348;1600;;Recuit
A27;OrderPoint;5415;2113;;Recuit
A28;OrderPoint;6443;6388;;Recuit
A29;OrderPoint;2927;5851;;Recuit
A30;OrderPoint;3253;3027;;Recuit
A31;OrderPoint;7580;2619;;Recuit
A32;OrderPoint;5294;503;;Recuit
A33;OrderPoint;11608;4652;;Recuit
A34;OrderPoint;9346;730;;Recuit
A35;OrderPoint;2143;720;;Recuit
A36;OrderPoint;6894;2866;;Recuit
A37;OrderPoint;8878;1089;;Recuit
A38;OrderPoint;8832;1720;;Recuit
A39;OrderPoint;9164;3151;;Recuit
A40;OrderPoint;8679;522;;Recuit
A41;OrderPoint;8085;1577;;Recuit
A42;OrderPoint;30938;4564;;Recuit
A43;OrderPoint;1746;1457;;Recuit
A44;OrderPoint;20785;1213;;Recuit
A45;OrderPoint;38617;5443;;Recuit
A46;OrderPoint;4827;1113;;Recuit
A47;OrderPoint;25156;4101;;Recuit
A48;OrderPoint;22369;7893;;Recuit
A49;OrderPoint;16446;1529;;Recuit
A50;OrderPoint;15461;7077;;Recuit
A51;OrderPoint;16961;6443;;Recuit
A52;OrderPoint;1709;1609;;Recuit
A53;OrderPoint;9700;8302;;Recuit
A54;OrderPoint;1748;4771;;Recuit
A55;OrderPoint;11157;4507;;Recuit
A56;OrderPoint;3530;1188;;Recuit
A57;OrderPoint;3888;1687;;Recuit
A58;OrderPoint;8681;6807;;Recuit
A59;OrderPoint;4701;2812;;Recuit
A60;OrderPoint;1313;4608;;Recuit
